Perturbation	Ensemble average response
[PI]	2.146067415730337
[PD]	2.946969696969697
[CT]	3.0
[BI]	2.008403361344538
[PK]	2.6597938144329896
[AK]	1.2244897959183674
[5Z]	2.99290780141844
[PI]-[PD]	1.61875
[PI]-[CT]	2.146067415730337
[PI]-[BI]	1.1845238095238095
[PI]-[PK]	1.2428571428571429
[PI]-[AK]	0.9436619718309859
[PI]-[5Z]	2.025
[PD]-[CT]	2.946969696969697
[PD]-[BI]	1.8211678832116789
[PD]-[PK]	2.784090909090909
[PD]-[AK]	0.8974358974358975
[PD]-[5Z]	2.946969696969697
[CT]-[BI]	2.008403361344538
[CT]-[PK]	2.6597938144329896
[CT]-[AK]	1.2244897959183674
[CT]-[5Z]	2.99290780141844
[BI]-[PK]	0.25
[BI]-[AK]	0.9473684210526315
[BI]-[5Z]	2.6449275362318843
[PK]-[AK]	0.7634408602150538
[PK]-[5Z]	2.989130434782609
[AK]-[5Z]	1.0561797752808988
